5/11 12:24:47.240  ---- Startup ----
5/11 12:25:03.158  ---- ClientAvailableHotfixes ----
5/11 12:25:03.158  ---- UserClientHotfixRequest ----
5/11 12:25:03.274  ---- ApplyingHotfixes from Cache ----
5/11 12:25:03.274  ---- ApplyingHotfixes from Server ----
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16826 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16835 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16836 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16838 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16839 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16841 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16842 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16843 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16844 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16845 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16846 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16847 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16848 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16849 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16850 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16852 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16853 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16854 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16855 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16856 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16866 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16869 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16872 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16873 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16874 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16877 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16880 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16883 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16887 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16888 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16889 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16890 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16892 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16893 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16895 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16898 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16899 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16900 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16902 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16909 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16910 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16911 valid
