9/17 01:16:54.800  ---- Startup ----
9/17 01:17:06.469  ---- ClientAvailableHotfixes ----
9/17 01:17:06.469  ---- UserClientHotfixRequest ----
9/17 01:17:06.469  ---- ApplyingHotfixes from Cache ----
9/17 01:17:06.469  	70151 Table Spell RecID 391305 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table SpellName RecID 391305 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table SpellCraftUI RecID 391305 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70151 Table SpellAuraOptions RecID 221805 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table SpellEffect RecID 1028698 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table SpellEffect RecID 1028722 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table SpellMisc RecID 650085 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table SpellMisc RecID 650096 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table CreatureDifficulty RecID 30739 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table CreatureDifficulty RecID 30740 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table Spell RecID 391294 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table SpellName RecID 391294 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table SpellCraftUI RecID 391294 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70151 Table Spell RecID 391305 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table SpellName RecID 391305 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table SpellCraftUI RecID 391305 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70151 Table SpellAuraOptions RecID 221805 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table SpellEffect RecID 1028698 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table SpellEffect RecID 1028722 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table SpellMisc RecID 650085 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table SpellMisc RecID 650096 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 5777 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 5778 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 5792 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 6137 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 6139 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 6140 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 6141 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 6142 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 6143 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 6144 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 6145 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 6146 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 6148 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 6337 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 6786 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 14784 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 14785 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 14786 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 14787 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 14898 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 14899 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 14900 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 15026 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 15027 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 15028 VALIDATION_RESULT_INVALID
